Tablo 1
Firma;Konum;Pozisyon;çalışma şekli;Tarih
Sab Otomotiv Yedek Parça Metal Makina San.ve Tic.A.Ş.;İstanbul;Yazılım Mühendisi;İş Yerinde;2024
CRONOM BİLİŞİM VE YAZILIM TEKNOLOJİLERİ SAN.VE TİC. LTD. ŞTİ.;Tekirdağ;Delivery Software Engineer;Uzaktan / Remote;2023
Sompo Sigorta A.Ş.;İstanbul;Yazılım Mühendisi (Front-End);Hibrit;2024
Gökçağ Kumaşçılık San. ve Tic. A.Ş.;Ankara;Yazılım Mühendisi;İş Yerinde;2022
Laserisse;Bursa;Software Engineer (C#/Wpf .Net Developer);İş Yerinde;2024
FABRİCATE MÜHENDİSLİK VE TEST SİSTEMLERİ;Ankara;Yazılım Geliştirme Mühendisi;İş Yerinde;2023
EKER SÜT ÜRÜNLERİ GIDA SANAYİ VE TİCARET A.Ş.;Antalya;Yazılım Mühendisi;İş Yerinde;2023
SFS DANIŞMANLIK BİLGİ İŞLEM SAN.VE DIŞ TİCARET A.Ş;Ankara;Kıdemli Yazılım Uzmanı/Yazılım Uzmanı;Uzaktan / Remote;2023
PUSULA CUSTOMER EXPERIENCE İLETİŞİM ANONİM ŞİRKETİ;Düzce;Yazılım Mühendisi;İş Yerinde;2021
Diana Turizm Otelcilik Tic. ve San. A.Ş.;İstanbul;Yazılım Mühendisi;İş Yerinde;2021
EHSİM Elektronik Harp Sistemleri Müh. Tic. A.Ş.;Ankara;Yazılım Mühendisi;İş Yerinde;2021
Real Solutions Bilişim Teknolojileri San. Tic. A.Ş;Ankara;Full Stack Developer;Hibrit;2023
ARCHİTECHT BİLİŞİM SİSTEMLERİ VE PAZARLAMA TİCARET ANONİM ŞİRKETİ;İstanbul;Architecht Techtalent 2024;Hibrit;2021
Türkiye Noterler Birliği;Ankara;Yazılım Mühendisi (Angular);İş Yerinde;2021
Türkiye Noterler Birliği;İstanbul;Yazılım Mühendisi (Java);İş Yerinde;2022
FİBA SİGORTA A.Ş .;Ankara;Software Engineer – Java - Spring Boot;Uzaktan / Remote;2024
Eliar Elektronik San. A.Ş.;Ankara;.Net Core Developer;İş Yerinde;2022
ICterra Bilgi ve İletişim Teknolojileri San. ve Tic. A.Ş.;İstanbul;Gömülü Yazılım Mühendisi;İş Yerinde;2021
Firma Bilgisi Gizli;İstanbul;Yazılım Mühendisi;İş Yerinde;2023
MRC ARGE ENERJİ MÜHENDİSLİĞİ KONTROL VE TEST HİZMETLERİ LTD. ŞTİ.;İstanbul;Junior Software Engineer;İş Yerinde;2021
Meba Elektronik iletişim Sistemleri Tic. Ltd. Şti.;İzmir;Yazılım Kalite Mühendisi;İş Yerinde;2023
İmeceMobil Tarım Platformu Elektronik Hizmetler Ticaret A.Ş.;Kocaeli;Yazılım Mühendisi;Hibrit;2021
KUZEY GLOBAL YAZILIM DANIŞMANLIK VE ARGE A.Ş.;İzmir;Yazılım Mühendisi;Uzaktan / Remote;2023
Sistaş Sayısal İletişim San. ve Tic. A.Ş.;İstanbul;Yazılım Geliştirme Uzmanı;İş Yerinde;2022
SCS Bina Otomasyon  Mühendislik ve Tesisat Ltd.Sti;İstanbul;Bina Otomasyon Yazılım Sorumlusu;İş Yerinde;2022
Sektöründe Lider Firma;İstanbul;Yazılım Uzmanı;İş Yerinde;2023
Hidropar Hareket Kontrol Teknolojileri Merkezi;Ankara;Yazılım Mühendisi;İş Yerinde;2021
Muzer Makina Sanayi;İstanbul;Software Engineer;İş Yerinde;2023
LOGO YAZILIM SAN.VE TİC.A.Ş.;İstanbul;Yazılım Geliştirme Danışmanı;Hibrit;2023
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Yazılım Geliştirme Danışmanı;Hibrit;2022
İpekyol Giyim San. ve Tic. A.Ş.;İstanbul;International Operations Software Developer;Hibrit;2023
MODERA BİLİŞİM VE DANIŞMANLIK LTD ŞTİ;İstanbul;Java Yazılım Uzmanı Dış Kaynak;Hibrit;2021
ATHENA BİLİŞİM ÇÖZÜMLERİ ANONİM ŞİRKETİ;İstanbul;Oracle Uygulamaları Danışmanı;Hibrit;2021
Aygaz;İstanbul;Yazılım Geliştirme Sorumlusu;Hibrit;2021
Janoschka Baskı Silindirleri San. Tic. A.Ş.;İzmir;Software Developer, Senior Image Processing;Hibrit;2024
VERİPORT BİLİŞİM VE DANIŞMANLIK LTD. ŞTİ;İstanbul;React.Js Developer;Uzaktan / Remote;2022
Demirören Medya Grubu;İstanbul;Frontend Developer;Hibrit;2023
KİZİRDEM TEKNOLOJİ ANONİM ŞİRKETİ;İstanbul;Java Yazılım Uzmanı;Hibrit;2023
Turpak Elektromanyetik Yakıt İkmal Sis.Tic.A.Ş.;İstanbul;.Net Yazılım Uzmanı;İş Yerinde;2022
Omuz Omuza Engelsiz İnsan Kaynakları;İstanbul;Mid Level .Net Developer;Uzaktan / Remote;2021
TEPRO MAKİNA VE OTOMASYON SİSTEMLERİ SAN.VE TİC.A.Ş.;İstanbul;Java Yazılım Mühendisi;Hibrit;2023
Mirsis Bilgi Teknolojileri A.Ş.;İstanbul;Senior .Net Developer;Hibrit;2024
Manpower;İstanbul;.Net Yazılım Mühendisi;Hibrit;2021
Pointo Teknoloji A.Ş.;Kocaeli;Junıor Full-Stack Developer;Hibrit;2022
Hokka Bilişim;Tekirdağ;Yeni Mezun Java Developer;İş Yerinde;2024
Infonal Bilgi Teknolojileri A.Ş.;Bursa;Junior Yazılım Geliştirme Uzmanı;Uzaktan / Remote;2024
BLUETECH TEKNOLOJİ SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ;İstanbul;Full Stack Developer;İş Yerinde;2024
MUBEA AVIATION HAVACILIK SANAYİ VE TİCARET A.Ş;İstanbul;Backend Yazılım Uzmanı;İş Yerinde;2022
Özdilek Holding;Ankara;Yazılım Uzmanı;İş Yerinde;2023
İLİM TURİZM;Antalya;Yazılım Uzmanı;İş Yerinde;2021
Dünya Varlık Yönetim A.Ş.;Ankara;Full-Stack .Net Kıdemli Yazılım Uzmanı;İş Yerinde;2023
ZİRVEDEKİ BEYİNLER;İstanbul;Delphı Yazılım Uzmanı;İş Yerinde;2023
SAN Tourism Software Group;İstanbul;Yazılım Uzmanı;İş Yerinde;2023
Datateam Bilgi Teknolojileri Ltd. Şti.;İstanbul;Yazılım Uzmanı;İş Yerinde;2021
HOTİÇ AYAKKABI SAN.TİC.AŞ;İstanbul;Yazılım Uzmanı(Winforms);İş Yerinde;2021
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İzmir;Yazılım Uzmanı(Web);Hibrit;2021
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;Bursa;Yazılım Uzmanı (.Net);Hibrit;2022
CARETTA YAZILIM VE DANIŞMANLIK HİZM.LTD.ŞTİ.;İstanbul;Yazılım Uzmanı;Uzaktan / Remote;2022
Koton;İstanbul;GTech Finansal Teknolojiler Akademisi;Hibrit;2023
G Teknoloji Bilişim San. ve Tic. A.Ş.;İstanbul;Yazılım Uzmanı;Uzaktan / Remote;2023
Altınyıldız Classics;İstanbul;Yapay Zeka Yazılım Uzmanı;İş Yerinde;2024
Özdilek Holding;İstanbul;Yazılım Uzmanı;İş Yerinde;2024
İçdaş Çelik Enerji Tersane ve Ulaşım San. A.Ş.;İstanbul;.Net Yazılım Uzmanı;İş Yerinde;2024
Türkiye Finans Katılım Bankası;İstanbul;Yazılım Uzmanı;Hibrit;2021
M.N.B.OTO KİRALAMA VE NAKLİYAT TİCARET ANONİM ŞİRKETİ;İstanbul;Content Protection Specialist;İş Yerinde;2024
DIGITURK;Kocaeli;CRM Çözümleri Yazılım Uzmanı;İş Yerinde;2024
DIGITURK;İstanbul;Yazılım Uzmanı;İş Yerinde;2021
Sertrans Uluslararası Nakliyat ve Tic. A.Ş;İstanbul;Yazılım Uzmanı;İş Yerinde;2021
MOBİLTEL İLETİŞİM HİZMETLERİ SAN. VE TİC. A.Ş.;Ankara;Yazılım Uzmanı;İş Yerinde;2024
Başbuğ Holding;Kocaeli;Yazılım Uzmanı;Hibrit;2021
Beta Kimya Sanayi ve Ticaret A.Ş.;İstanbul;Canias Senior Developer;İş Yerinde;2021
Konyalı Saat;Aydın;Yazılım Uzmanı;İş Yerinde;2023
Koel Elektronik A.Ş.;Ankara;Yazılım Uzmanı;İş Yerinde;2022
ÖNDER SÖKEN DYNOBİL OTO EKSPERTİZ;İstanbul;Yazılım Uzmanı;İş Yerinde;2022
Tezcan Galvanizli Yapı Elemanları San. ve Tic. A.Ş;Malatya;Yazılım Uzmanı;İş Yerinde;2021
Neutec;İstanbul;Yazılım Uzmanı;İş Yerinde;2021
BİLİN YAZILIM VE BİLİŞİM DANIŞMANLIĞI A.Ş.;İstanbul;Yazılım Uzmanı;Hibrit;2021
Aksigorta;İstanbul;Kıdemli Yazılım Mühendisi - Java;İş Yerinde;2024
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;İstanbul;Oracle PL/SQL Developer;Uzaktan / Remote;2021
Eresense Elektronik San. Tic. Ltd. Şti;İstanbul;Yazılım Uzmanı;İş Yerinde;2022
OPTİİM İŞ ÇÖZÜMLERİ A.Ş;İstanbul;Tecrübeli C# Yazılım Uzmanı;Uzaktan / Remote;2024
Sektöründe Öncü Firma;Ankara;Yazılım Uzmanı / Kıdemli Uzmanı;Hibrit;2024
FİRMANET YAZILIM VE TEKNOLOJİ A.Ş.;İstanbul;Yazılım Uzmanı (ERP Modül Geliştirici);Uzaktan / Remote;2022
ALTUR TURİZM SERVİS VE TİCARET LTD.ŞTİ;İstanbul;Backend Developer;İş Yerinde;2021
NOKSEL ÇELİK BORU SAN.A.Ş.;İstanbul;Yazılım Uzmanı;İş Yerinde;2021
PROVISION;İstanbul ;Ödeme Sistemleri Yazılım Uzmanı;İş Yerinde;2022
T.C. İSTANBUL AYDIN ÜNİVERSİTESİ;İstanbul;Yazılım Uzmanı;İş Yerinde;2024
TECHNE BİLİŞİM VE TEKNOLOJİ HİZMETLERİ ANONİM ŞİRKETİ;İstanbul;Yazılım Uzmanı- Mid Level;Hibrit;2023
Percon Bilişim Çözümleri ve Danışmanlık A.Ş.;İstanbul;Yazılım Uzmanı;Hibrit;2023
DEVA Holding A.Ş.;İstanbul;SAP Uzmanı;İş Yerinde;2024
Elnur Gayrimenkul ve Yazılım Ticaret Limited Şirketi;İstanbul;Yazılım Uzmanı;Uzaktan / Remote;2024
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;İstanbul;Software Architect;İş Yerinde;2021
Asis;İzmir;Yazılım Mühendisi (Front-End);İş Yerinde;2022
Sabanci Üniversitesi;İstanbul;PHP Yazılım Uzmanı;Hibrit;2021
Moda Selvim;İstanbul;PHP Yazılım Uzmanı;İş Yerinde;2022
ATA TEKNİK ENDÜSTRİYEL TEKNOLOJİLER SANAYİTİCARET LİMİTED ŞİRKETİ;Ankara;Machine Learning Bootcamp + Datathon;İş Yerinde;2021
YAŞAR BİLGİ İŞLEM VE TİCARET A.Ş.;Ankara;Unity With C# Bootcamp;İş Yerinde;2022
techcareer.net;İstanbul;Back-End With C# Bootcamp;Uzaktan / Remote;2024
techcareer.net;Ankara;Ödüllü League Of Legends 1. Lig Turnuvası;Uzaktan / Remote;2022
techcareer.net;İstanbul;Disaster Puls Hackathon;Uzaktan / Remote;2024
techcareer.net;Tekirdağ;C++ Bootcamp;Uzaktan / Remote;2023
techcareer.net;İstanbul;Java Uygulama Geliştirme Uzmanı;Uzaktan / Remote;2022
techcareer.net;İstanbul;Gömülü Sistem Yazılım Mühendisi;Uzaktan / Remote;2022
ENOCA BİLGİ TEKNOLOJİLERİ VE DANIŞMANLIKLTD.ŞTİ.;İstanbul;Uzman Gömülü Yazılım Mühendisi;Hibrit;2021
Fotec Enerji Teknolojileri A.Ş;Sakarya;Gömülü Yazılım Geliştirici;İş Yerinde;2024
ATEL TEKNOLOJİ VE SAVUNMA SANAYİ A.Ş.;İstanbul;Gömülü Yazılım Mühendisi;İş Yerinde;2021
DUALUS TEKN. ELEKT. EĞT. MÜH. ARAŞ. MAK. İLET. ENERJİ SAN. VE TİC.LTD. ŞTİ.;Ankara;Gömülü Yazılım Mühendisi;İş Yerinde;2022
Makel Elektrik Malzemeleri;Ankara;Gömülü Yazılım Mühendisi;İş Yerinde;2022
INNOVATIC MÜHENDİSLİK A.Ş.;İstanbul ;Güç Elektroniği Gömülü Yazılım Mühendisi;İş Yerinde;2021
BİLGİ ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;İstanbul;Gömülü Yazılım Mühendisi;İş Yerinde;2022
EnginSoft Turkey;Trabzon;Kıdemli Gömülü Yazılım Mühendisi;İş Yerinde;2021
Deka Elektronik San. ve Tic. A.Ş;Kocaeli;Gömülü Yazılım Mühendisi;İş Yerinde;2021
BİRİKİM PİLLERİ BATARYA TEKNOLOJİLERİ ANONİM ŞİRKETİ;Ankara;Gömülü Yazılım Mühendisi;İş Yerinde;2022
Bias Mühendislik;İstanbul;Uzman Gömülü Yazılım Mühendisi;İş Yerinde;2021
Eska Valve A.Ş;Ankara;Gömülü Yazılım Mühendisi;İş Yerinde;2024
FEMSAN ELEKTRİK MOTORLARI SANAYİ VE TİCARET A.Ş.;İstanbul;Gömülü Yazılım Mühendisi;İş Yerinde;2024
ASİSGUARD SAVUNMA SANAYİ TİCARET ANONİM ŞİRKETİ;Ankara;Kıdemli Gömülü Yazılım Mühendisi;İş Yerinde;2024
Gizli Firma;İstanbul;Yazılım Sistemleri Uzmanı;İş Yerinde;2023
LİNKAS TEKNOLOJİ SANAYİ TİCARET A.Ş;Ankara;Kıdemli Gömülü Yazılım Mühendisi;İş Yerinde;2021
VOLT TEKNOLOJİ GELİŞTİRME VE MÜHENDİSLİK A.Ş.;İzmir;Kıdemli Gömülü Yazılım Mühendisi;İş Yerinde;2023
Manas Enerji Yönetimi San. ve Tic. A.Ş.;Ankara;Kıdemli Gömülü Yazılım Mühendisi;İş Yerinde;2024
Koton;İstanbul;Kıdemli Yazılım Uzmanı;Hibrit;2023
CRONOM BİLİŞİM VE YAZILIM TEKNOLOJİLERİ SAN.VE TİC. LTD. ŞTİ.;İstanbul;Senior Software Developer;Hibrit;2024
Unico Sigorta A.Ş.;İstanbul;Yazılım Kıdemli Uzmanı;Hibrit;2021
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;İstanbul;Senior Frontend Developer;Uzaktan / Remote;2024
TECHNE BİLİŞİM VE TEKNOLOJİ HİZMETLERİ ANONİM ŞİRKETİ;İstanbul;Kıdemli Yazılım Uzmanı;Hibrit;2021
MUDO;İstanbul;Kıdemli Yazılım Uzmanı;Hibrit;2022
IUC HAGED;İstanbul;Kıdemli Yazılım Uzmanı;İş Yerinde;2022
Acıbadem Sağlık Hizmetleri Tic. A.Ş.;İzmir;Senior Developer;İş Yerinde;2023
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;İstanbul;Yazılım Uzmanı/İzmir;İş Yerinde;2021
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Kıdemli Yazılım Geliştirme Uzmanı;Hibrit;2021
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Kıdemli Yazılım Geliştirme Uzmanı, .Net;Hibrit;2022
Yurtiçi Kargo Servisi A.Ş.;İstanbul;Kıdemli Yazılım Geliştirme Uzmanı;İş Yerinde;2024
Bitviva Teknoloji A.S;İstanbul;Kıdemli Yazılım Geliştirme Uzmanı;Hibrit;2023
A&T BANK;İstanbul;Kıdemli Yazılım Geliştirme Uzmanı;Hibrit;2022
Speksa Bilişim Hizmetleri Ltd.Şti.;Ankara;Kıdemli Yazılım Geliştirme Uzmanı;Uzaktan / Remote;2023
Haberler.com;Girne;Kıdemli Yazılım Geliştirme Uzmanı;İş Yerinde;2024
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;İstanbul;Kıdemli ASP.NET Yazılım Uzmanı;Uzaktan / Remote;2021
TURBOARD (E-Kalite);İzmir;Full Stack Web Developer;İş Yerinde;2023
VeriPark;İstanbul;Senior Software Developer;Uzaktan / Remote;2021
Merit Royal Otel;Yalova;Senior Fullstack Developer;İş Yerinde;2021
NTT Data Business Solutions Türkiye;Antalya;Senior Java Developer;Hibrit;2022
Doruk Yazılım Proje Danışmanlık;İstanbul;Yazılım Geliştirme Uzmanı;Hibrit;2022
PUDO TAŞIMA TEKNOLOJİLERİ ANONİM ŞİRKETİ;Ankara;Senior Software Developer;Hibrit;2021
AppTec Services GmbH;Ankara;Full Stack Developer / IoT Yazılım Geliştirici;Uzaktan / Remote;2023
BEŞİKTAŞ TERSANE A.Ş.;Ankara;Yazılım Sorumlusu;İş Yerinde;2024
ATP Gıda Ticaret AŞ;Ankara;Yazılım Sorumlusu;İş Yerinde;2024
BİLİN YAZILIM VE BİLİŞİM DANIŞMANLIĞI A.Ş.;İstanbul;Yazılım Uzman Yardımcısı;Hibrit;2022
SmartICT Bilişim A.Ş;İzmir;Kıdemli Java Yazılım Mühendisi;İş Yerinde;2024
Rencons;Kocaeli;Senior Software Engineer (C#/Wpf);Uzaktan / Remote;2023
PTTEM TEKNOLOJİ VE ELEKTRONİK A.Ş.;İstanbul;Senior Java Software Engineer;Hibrit;2022
MAREN ROBOTICS;Ankara;Kıdemli Yazılım Mühendisi;İş Yerinde;2022
ELEKON ENERJİ SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;İzmir;Kıdemli Yazılım Tasarım Mühendisi;İş Yerinde;2024
AVL Araştırma ve Mühendislik;İstanbul;Senior Software Engineer;İş Yerinde;2024
Sompo Sigorta A.Ş.;Bursa;Kıdemli Yazılım Mühendisi (Back-End);Hibrit;2022
BLUETECH TEKNOLOJİ SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ;İstanbul;Kıdemli Yazılım Mühendisi;İş Yerinde;2021
LİNKTERA BİLGİ TEKNOLOJİLERİ A.Ş.;İstanbul;Senior Java Developer;Uzaktan / Remote;2024
Türkiye Finans Katılım Bankası;İstanbul;Yazılım Altyapı Geliştirme Kıdemli Yazılımcı;Hibrit;2024
G Teknoloji Bilişim San. ve Tic. A.Ş.;İstanbul;GTech Büyük Veri ve Analitik Akademisi;Uzaktan / Remote;2022
DIGITURK;İstanbul;Data Engineer;İş Yerinde;2021
VeriPark;İstanbul;Software Development Team Lead;Uzaktan / Remote;2021
KALE;İstanbul;Uygulama Geliştirme Kıdemli Uzmanı /Uzmanı;Hibrit;2021
ROKO GAME TEKNOLOJİ ANONİM ŞİRKETİ;İstanbul;Oyun Yazılım Uzmanı;İş Yerinde;2022
TEV - Türk Eğitim Vakfı;Hatay;Mobile Developer (Flutter);İş Yerinde;2023
Teknosa İç ve Dış Ticaret A.Ş.;Kahramanmaraş;React Native Developer;Hibrit;2022
Gizli Firma;İstanbul;Bilgisayar Mühendisi;İş Yerinde;2022
KARACASU TEKSTİL TİCARET VE SAN.ANONİM ŞİRKETİ;Sivas;Bilgisayar Mühendisi;İş Yerinde;2021
Acme Holding;Manisa;Bilgisayar Mühendisi;İş Yerinde;2022
FİNEO DİJİTAL DÖNÜŞÜM ANONİM ŞİRKETİ;İstanbul;Bilgisayar Mühendisi;İş Yerinde;2023
HAT İNDÜKSİYON ELEKTRİK ELEKTRONİK İTHALAT İHRACAT SAN. TİC. A.Ş.;İstanbul;Bilgisayar Mühendisi;İş Yerinde;2021
Sistaş Sayısal İletişim San. ve Tic. A.Ş.;Antalya;Yazılım ve Sistem Mühendisleri;İş Yerinde;2022
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Yazılım Takım Lideri(Winforms);Hibrit;2024
ÜMİT AYDIN;İstanbul;Yazılım Takım Lideri;İş Yerinde;2023
WAT MOTOR SANAYİ VE TİCARET ANONİM ŞİRKETİ;İstanbul;Senior Specialist-R&D System Application ( EV );Hibrit;2022
Faturamatik Elektr. Para ve Ödeme Kur. A.Ş.;Antalya;Front-End Developer (Next.Js/ React.Js);Hibrit;2021
Moda Selvim;İstanbul;Front End Geliştirici;İş Yerinde;2022
SAN Tourism Software Group;İstanbul;Front End Geliştirici;İş Yerinde;2023
Nist Group;Kocaeli;Back-End Developer;Hibrit;2022
Jengal Yazılım;Ankara;Front-End Developer;Hibrit;2024
Mahrek Teknoloji A.Ş;İstanbul;Senıor Backend Developer;İş Yerinde;2023
Erpa Ödeme Hizmetleri ve Elektronik Para A.Ş.;Ankara;Front-End Geliştirici;İş Yerinde;2024
WİPELOT TEKNOLOJİ SANAYİ ANONİM ŞİRKETİ;Ankara;Front-End Geliştirici;Hibrit;2021
Hayhay Elektronik Para ve Ödeme Hizmetleri A.Ş;Kocaeli;Mid-Level Back-End Developer;İş Yerinde;2021
EBG Bilişim Teknolojileri ve Hizmetleri A.Ş.;Kocaeli;.Net Front-End Yazılım Geliştirme Uzmanı;İş Yerinde;2023
DiNAMiK BILGI TEKNOLOJiLERi ANONiM ŞiRKETi;İstanbul;Senior Frontend Developer;İş Yerinde;2021
DiNAMiK BILGI TEKNOLOJiLERi ANONiM ŞiRKETi;Ankara;Senior Backend Developer;Hibrit;2021
Balance Network Kripto Varlık Bilişim ve Teknoloji A.Ş.;İzmir;Mid Level Front-End Geliştirici;İş Yerinde;2024
TOR Holding;Antalya;Back-End Geliştirici;Hibrit;2024
REKA GRUP DANIŞMANLIK VE TİCARET LİMİTED ŞİRKETİ;İzmir;Front-End Geliştirici;İş Yerinde;2024
İMECAR ELEKTRONİK SANAYİ VE TİC.LTD.ŞTİ.;İstanbul;Front-End Geliştirici;İş Yerinde;2021
BRANDS A GIDA VE TÜKETİM MALZEMELERİ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKET;İstanbul;Frontend Developer;İş Yerinde;2021
WeHire;İstanbul;DevOps Uzmanı;Hibrit;2021
F8 Bilişim Ve Danışmanlık Hizmetleri Ltd. Şti;İstanbul;ERP Yazılım Geliştirme Uzmanı;Hibrit;2023
ARBEL BAKLIYAT HUBUBAT SAN VE TİC A.Ş.;Mersin;Yazılım Geliştirme Uzmanı;İş Yerinde;2022
Kalemzen Yazılım Ltd.Şti.;Ankara;Delphi Yazılım Geliştirme Uzmanı;İş Yerinde;2023
ECHO Yönetim ve Bilişim Hizmetleri  A.Ş.;İstanbul;Yazılım Geliştirme Uzmanı;Hibrit;2023
Faturamatik Elektr. Para ve Ödeme Kur. A.Ş.;İstanbul;Yazılım Geliştirme Uzmanı;İş Yerinde;2024
Aytaş Gıda;İzmir;Yazılım Geliştirme Uzmanı;İş Yerinde;2021
ALBARAKA TEKNOLOJİ BİLİŞİM SİSTEMLERİ VE PAZARLAMA TİCARET ANONİM ŞİRKETİ;İstanbul;Yazılım Geliştirme Uzmanı (Hybrid);Hibrit;2022
FABAY TURİZM YATIRIMLARI İNŞ.A.Ş.;İstanbul;Yazılım Geliştiricisi;İş Yerinde;2021
Omuz Omuza Engelsiz İnsan Kaynakları;İstanbul;Full Stack Developer (Php);İş Yerinde;2024
TEV - Türk Eğitim Vakfı;İstanbul;Yazılım Geliştirme Uzmanı - Dijital Çözüm Ofisi;İş Yerinde;2024
VANİTY ESTETİK;İstanbul;Frontend Yazılım Uzmanı;Uzaktan / Remote;2024
Adil Işık Group;İstanbul;Yazılım Geliştirme Uzmanı;İş Yerinde;2022
Bizim Toptan Satış Mağazaları A.Ş.;Kocaeli;Yazılım Geliştirme Uzmanı (Backend);Hibrit;2022
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Yazılım Geliştirme Uzmanı;Hibrit;2024
Turkuvaz  Haberleşme ve Yayıncılık A.Ş;Antalya;Yazılım Geliştirme Uzmanı;İş Yerinde;2023
CANTEK SOĞUTMA A.Ş.;Ankara;Mıd-Junior Wordpress Developer (Elementor);İş Yerinde;2022
Lokman Hekim Sağlık Grubu;İstanbul;.Net Developer (Banka & Finans);İş Yerinde;2021
Finartz Bilgi Teknolojileri A.Ş.;Ankara;Senior Backend Developer (Techcareer.Net);Uzaktan / Remote;2023
GERHAU AKILLI YAŞAM GEREÇLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;İstanbul;Yazılım Geliştirme Uzmanı;İş Yerinde;2024
ITEMCO TEKNOLOJİ DANIŞMANLIK ANONİM ŞİRKETİ;İstanbul;Software Development Specialist;Uzaktan / Remote;2023
Kariyer.net;İstanbul;Developer;Uzaktan / Remote;2024
DİA YAZILIM SAN.VE TİC.A.Ş.;Bursa;Yazılım Geliştirme Uzmanı;İş Yerinde;2023
YILDIRIM HOLDİNG A.Ş.;Manisa;Senior Back End Developer;İş Yerinde;2024
Madame Coco;Kocaeli;SAP Yazılım Geliştirme Uzmanı;Hibrit;2021
Ünsped Gümrük Müşavirliği ve Lojistik Hizmetler A.Ş;İstanbul;Dijital Strateji ve Dönüşüm Mühendisi;Hibrit;2024
Bluemint Mağazacılık A.Ş.;Antalya;.Net Yazılım Geliştirme Uzmanı;Uzaktan / Remote;2021
Borçelik;İstanbul;Yazılım Geliştirme Uzmanı;İş Yerinde;2022
Polinas;İstanbul;Yazılım Geliştirme Uzmanı;Hibrit;2024
Vizyoneks Bilgi Teknolojileri A.Ş.;Kocaeli;Full Stack - Masaüstü Yazılım Geliştirme Uzmanı;İş Yerinde;2022
Banksoft Bilişim Bilgisayar Hizmetleri A.Ş.;İstanbul;Yazılım Geliştirme Uzmanı;İş Yerinde;2021
KRİSTAL ENDÜSTRİYEL MUTFAK ÇAMAŞIRHANE MAKİNE PAZ.;İstanbul;Yazılım Geliştirme Uzmanı (Mühendis);İş Yerinde;2021
SELİN GÜN AY BİLİŞİM DANIŞMANLIĞI;Kocaeli;PHP Developer;İş Yerinde;2022
International Plus Health Tourism;Bursa;Yazılım Geliştirme Uzmanı;İş Yerinde;2024
FARBA OTOMOTİV ANONİM ŞİRKETİ;İstanbul;Dynamics Axapta Yazılım Geliştirme Uzmanı;İş Yerinde;2023
Gözen Digital Aviation;Denizli;Yazılım Geliştirme Uzmanı - Frontend;Uzaktan / Remote;2021
Sahibinden.com;Ankara;Yazılım Geliştirme Uzmanı;İş Yerinde;2024
Eroğlu Holding;İzmir;Yazılım Geliştirme Uzmanı (Ankara);İş Yerinde;2022
Logo Yazılım San Ve Tic A.Ş.;Eskişehir;Yazılım Geliştirme Uzmanı;Hibrit;2023
B.E.K E-BİLGİ TEKNOLOJİ DANIŞMANLIK SAN.TİC.LTD.ŞT;İstanbul ;Yazılım Geliştirme Uzmanı;Hibrit;2023
Randstad Türkiye;Kocaeli;Yazılım Geliştirme Uzmanı;Uzaktan / Remote;2024
PALADYUM ELEKTRONİK PARA VE ÖDEME HİZMETLERİ AŞ.;İstanbul;Yazılım Geliştirme Uzmanı;İş Yerinde;2022
YAVUZÇEHRE TEKSTİL SANAYİ VE TİCARET ANONİM ŞİRKETİ;Ankara;Canias ERP Uzmanı;İş Yerinde;2022
İş Yazılım Donanım Elektronik LTD.ŞTİ;İstanbul;Yazılım Geliştirme Danışmanı;İş Yerinde;2024
WeHire;İstanbul;DevOps Uzmanı;Hibrit;2021
Janoschka Baskı Silindirleri San. Tic. A.Ş.;İzmir;Software Developer, Senior Image Processing;Hibrit;2023
VERİPORT BİLİŞİM VE DANIŞMANLIK LTD. ŞTİ;İstanbul;React.Js Developer;Uzaktan / Remote;2023
Demirören Medya Grubu;Tekirdağ;Frontend Developer;Hibrit;2024
MUBEA AVIATION HAVACILIK SANAYİ VE TİCARET A.Ş;Bursa;Full Stack Developer;İş Yerinde;2022
Özdilek Holding;İstanbul;Backend Yazılım Uzmanı;İş Yerinde;2023
İLİM TURİZM;İstanbul;Yazılım Uzmanı;İş Yerinde;2022
